#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
296089:5746,06/05/17 04:03:34,31,16,0.001733926,0.000653522
296090:5746,06/05/17 04:15:32,34,15,0.001880425,0.000477346
296091:5746,06/05/17 04:28:33,44,19,0.002400942,0.000745790
296092:5746,06/05/17 04:45:39,33,17,0.001777205,0.000734876
296093:5746,06/05/17 04:58:11,32,16,0.001705864,0.000639815
296094:5746,06/05/17 05:10:21,10,5,0.000529397,0.000011431
296095:5746,06/05/17 05:13:56,32,16,0.001681776,0.000695023
296096:5746,06/05/17 05:26:07,35,19,0.001820011,0.000643183
296097:5746,06/05/17 05:39:44,32,16,0.001645523,0.000611304
296098:5746,06/05/17 05:51:48,32,17,0.001628275,0.000683040
296099:5746,06/05/17 06:04:07,30,15,0.001511060,0.000537886
296100:5746,06/05/17 06:15:41,30,15,0.001496751,0.000580175
296101:5746,06/05/17 06:27:19,36,21,0.001773707,0.000585586
296102:5746,06/05/17 06:41:14,26,21,0.001262745,0.000028239
296103:5746,06/05/17 06:51:06,35,17,0.001683397,0.000683453
296104:5746,06/05/17 07:04:39,44,29,0.002096824,0.000815716
296107:5746,06/05/17 07:21:44,32,16,0.001507906,0.000539922
296108:5746,06/05/17 07:33:51,31,15,0.001445682,0.000578100
296109:5746,06/05/17 07:45:33,32,16,0.001472595,0.000577728
296110:5746,06/05/17 07:57:47,31,15,0.001422983,0.000556412
296111:5746,06/05/17 08:09:40,38,23,0.001726338,0.000573805
296112:5746,06/05/17 08:24:17,31,15,0.001393201,0.000556470
296113:5746,06/05/17 08:36:02,49,16,0.002176099,0.000567024
296114:5746,06/05/17 08:54:56,56,34,0.002443669,0.001134458
296115:5746,06/05/17 09:16:26,35,24,0.001505217,0.000885210
296116:5746,06/05/17 09:29:45,148,148,0.005963132,0.005766704
296134:5748,06/05/17 15:14:41,13,1,0.000000002,0
296135:5748,06/05/17 15:19:11,12,4,0.000000002,0
296138:5748,06/05/17 15:23:46,19,5,0.000000002,0
296143:5748,06/05/17 15:30:50,25,4,0.000000003,0
296149:5748,06/05/17 15:40:19,14,4,0.000000001,0
296152:5748,06/05/17 15:45:24,30,17,0.000000003,0.000000001
296159:5748,06/05/17 15:56:54,47,34,0.000000005,0.000000003
296162:5748,06/05/17 16:15:02,107,97,0.000030976,0.000025855
296163:5748,06/05/17 16:56:22,13,5,0.000006313,0.000002076
296164:5748,06/05/17 17:01:22,95,95,0.000044942,0.000044880
296166:5749,06/05/17 20:56:00,9,0,0.000000063,0
296167:5749,06/05/17 20:59:09,24,10,0.000374680,0
296168:5749,06/05/17 21:08:17,55,55,0.003242407,0.001358860
296171:5750,06/06/17 00:37:51,9,0,0.000000064,0
296172:5750,06/06/17 00:41:07,95,84,0.003945964,0.002498098
296173:5750,06/06/17 01:17:49,791,781,0.044915142,0.043166816
296174:5750,06/06/17 06:24:50,48,46,0.002036983,0.001839675
