#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
316873:6719,05/24/18 23:02:23,1,0,0,0
316876:6719,05/24/18 23:04:26,633,624,0.236331803,0.213213129
316877:6719,05/25/18 03:18:17,405,401,0.113498410,0.108482659
316878:6719,05/25/18 05:55:25,16,8,0.003941491,0.000000136
316879:6719,05/25/18 06:01:35,199,199,0.046381379,0.042531309
316926:6724,05/25/18 17:10:45,3,0,0.000000090,0.000000002
316928:6724,05/25/18 17:15:17,168,168,0.048623186,0.046891981
316944:6729,05/26/18 14:17:49,1825,1825,0.502776713,0.484591894
316984:6731,05/27/18 19:47:24,1,1,0.000000054,0
316985:6731,05/27/18 19:51:44,496,496,0.181383284,0.175005127
316993:6733,05/28/18 03:16:09,237,226,0.086068800,0.076776618
316994:6733,05/28/18 04:58:47,20,14,0.006970145,0.004587452
316995:6733,05/28/18 05:06:29,624,624,0.184902710,0.179421233
317051:6736,05/28/18 14:18:43,108,96,0.000000043,0.000000014
317053:6736,05/28/18 15:00:21,28,28,0.000000066,0.000000061
317078:6737,05/28/18 20:18:39,17,5,0.000000284,0.000000061
317080:6737,05/28/18 20:24:59,71,71,0.012362821,0.011532092
317086:6738,05/28/18 22:57:52,1,0,0.000000002,0.000000002
317087:6738,05/28/18 22:57:54,832,821,0.276914617,0.262606689
317088:6738,05/29/18 04:33:00,36,25,0.009647552,0.000007717
317089:6738,05/29/18 04:46:52,1009,1009,0.213883258,0.205613081
317169:6740,05/30/18 06:10:44,2,0,0.000000094,0
317170:6740,05/30/18 06:15:00,23,23,0.008511645,0.008286232
317181:6741,05/30/18 08:53:25,1,0,0.000000048,0
317182:6741,05/30/18 08:57:55,1399,1399,0.413520760,0.396488889
317212:6744,05/31/18 02:28:45,161,152,0.059960994,0.052763192
317213:6744,05/31/18 03:40:05,376,376,0.125645413,0.120980058
317264:6746,05/31/18 14:51:22,1,1,0.000000049,0.000000049
317278:6747,05/31/18 16:50:20,1,0,0.000000017,0
317279:6747,05/31/18 16:54:52,483,483,0.068999667,0.066424461
317291:6749,06/01/18 02:40:43,817,812,0.280602485,0.269417563
317292:6749,06/01/18 08:08:06,391,351,0.098260444,0.081932050
317295:6749,06/01/18 10:39:45,28,19,0.006326458,0.004155161
317296:6749,06/01/18 10:50:40,114,104,0.024291778,0.021481753
317297:6749,06/01/18 11:34:35,767,767,0.134800021,0.125799081
317317:6751,06/01/18 19:20:16,1,0,0.000000050,0
317319:6751,06/01/18 19:25:54,159,156,0.062275709,0.056950712
317320:6751,06/01/18 20:37:54,1832,1832,0.461669118,0.445563469
317335:6752,06/02/18 10:17:44,1,0,0.000000053,0
317338:6752,06/02/18 10:23:15,60,56,0.022202357,0.017620129
317339:6752,06/02/18 11:06:15,185,176,0.074368335,0.067871490
317340:6752,06/02/18 12:17:49,419,419,0.142463361,0.135491851
317381:6755,06/03/18 16:09:49,2,0,0.000014818,0.000014647
317382:6755,06/03/18 16:12:13,99,91,0.037562699,0.028653439
317383:6755,06/03/18 17:05:19,59,59,0.023432403,0.022035987
317390:6757,06/04/18 03:02:36,2,0,0.000000221,0
